Trade Date,Buyer,Seller,Compliance Instrument Type,Jurisdiction,Contact CBM,Client Type,Protocol,Vintage Start,Vintage End,Volume,Price,Price for MtM,P&L,Currency,Comment,Fee,Note,Contract Signed,Invoice received ,Delivery Date
2018-10-04,Arcelor Long Products LP,BP,CCO,California,,Advisory,,,,85000.0,16.1,28.0,,USD,OTC Direct,94253.0,,,,2018-10-15
2018-10-04,CRH,BP,CCO,California,,Advisory,,20,20,55000.0,16.1,28.0,,USD,OTC Direct,64501.0,,,,2018-10-15
2018-10-04,CRH,BP,CCO,California,,Advisory,,19,19,55000.0,16.2,28.0,,USD,OTC Direct,63959.0,,,,2018-10-15
2018-10-08,Kruger Product LP,ClearBlue,CCA,Quebec,,Advisory,,17,17,50000.0,19.8,,-990000.0,CAD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-08,Mercuria,ClearBlue,CCA,Quebec,,Advisory,,17,17,-50000.0,19.85,,992500.0,CAD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-18,Kruger Inc,ClearBlue,CCA,Quebec,,Advisory,,17,17,15000.0,15.37,,-230550.0,USD,OTC ClearBlue,0.0,,,,2018-10-25
2018-10-18,Kruger Wayagamack LP,ClearBlue,CCA,Quebec,,Advisory,,17,17,40000.0,15.37,,-614800.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-18,Vitol,ClearBlue,CCA,Quebec,,Advisory,,17,17,-55000.0,15.42,,848100.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-24,Propane Plus,ClearBlue,CCA,Quebec,,Advisory,,18,18,5090.0,14.5,,-73805.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-24,Mercuria,ClearBlue,CCA,Quebec,,Advisory,,18,18,-5090.0,14.5,,73805.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-24,Propane Plus,ClearBlue,CCA,Quebec,,Advisory,,17,17,5278.0,15.5,,-81809.0,USD,OTC ClearBlue,2296.0,,,,2018-10-15
2018-10-24,Mercuria,ClearBlue,CCA,Quebec,,Advisory,,17,17,-5278.0,15.5,,81809.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2019-09-09,Arcelor Long Products LP,BP,CCO,California,,Advisory,TBD,TBD,TBD,10000.0,15.05,17.15,,USD,OTC Direct,2300.0,,,,2019-10-01
2019-10-17,Pilot Travel Centers,Elbow River,CCA,California,,Advisory,,18,18,250000.0,17.23,,,USD,OTC Direct,12500.0,,,,2019-10-25
2019-12-10,Dupont,Elbow River,CCA,Quebec,,Advisory,,18,18,30720.0,17.15,,,USD,OTC Direct,9000.0,,,,2019-12-18
2020-02-27,Resolute,Capital Power,CCO,Quebec,,Advisory,,,,61000.0,15.25,17.87,,USD,OTC Direct,,,,,2020-03-30
2020-03-05,Nova Chemicals,Capital Power,SC,Alberta,,Advisory,Conservation Cropping,14,14,-71908.0,26.5,,,CAD,OTC Direct,10000.0,,,,2020-03-30
2020-05-08,CRH,BP,CCO,California,,Advisory,,20,20,32000.0,,28.0,,USD,OTC Direct,0.0,,,,2020-07-31
2020-05-29,CertainTeed Corp,EDF,CCA,Quebec,,Advisory,,2017,2017,13292.0,16.5,,,USD,OTC Direct,1329.0,,,,2020-05-29
2020-05-29,CertainTeed Corp,EDF,CCO,Quebec,,Advisory,2018 Offset U.S. Forest Projects CAFR5364-A,2018,2018,7694.0,14.0,16.77,,USD,OTC Direct,3197.0,,,,2020-05-29
2020-05-29,CertainTeed Corp,EDF,CCA,California,,Advisory,,2018,2018,50318.0,16.5,,,USD,OTC Direct,5032.0,,,,2020-05-29
2020-05-29,CertainTeed Corp,EDF,CCA,California,,Advisory,,2019,2019,60.0,16.5,,,USD,OTC Direct,6.0,,,,2020-05-29
2020-05-29,CertainTeed Corp,EDF,CCO,California,,Advisory,2018 Offset U.S. Forest Projects CAFR5364-A,2018,2018,13687.0,14.0,16.77,,USD,OTC Direct,5687.0,,,,2020-05-29
2020-07-30,NGL Supply,Elbow River,CCO,Quebec,JG,Advisory,Reforestation+ODS,TBD,TBD,40000.0,13.5,16.84,,USD,OTC Direct,14629.0,,,,2020-07-31
2020-07-30,GEQ,Capital Power,CCO,Quebec,JG,Advisory,CAFR5315-A,TBD,TBD,45000.0,14.25,16.84,,USD,OTC Direct,12762.0,,,,2020-09-10
2020-10-02,Lantic,Elbow River,CCO,California,JG,Advisory,,20,20,19000.0,13.25,17.15,,USD,OTC Direct,8114.0,,,,2020-10-02
